,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
262,15,14,20,21,18,20,18,20,24,25,30,29
263,4,2,4,2,3,4,3,2,6,5,5,7
264,37,27,41,36,52,53,50,55,72,69,51,50
265,23,20,13,24,23,35,27,35,34,40,31,37
266,5,6,8,9,20,31,40,49,46,44,32,38
267,11,18,21,28,29,30,34,33,37,38,36,35
268,16,26,42,58,49,55,67,60,50,32,36,21
269,3,3,3,8,5,3,3,4,2,6,3,5
270,11,11,9,14,9,10,12,18,17,19,18,18
271,13,21,41,40,46,43,45,49,42,41,43,42
272,16,13,14,19,18,12,22,19,17,21,25,18
273,4,2,4,5,5,6,5,6,10,8,7,7
274,13,19,27,24,27,31,34,30,33,32,27,20
275,39,37,26,29,28,21,23,30,34,25,33,17
276,41,39,32,36,40,34,39,44,40,39,25,35
277,32,25,29,37,27,30,22,24,23,19,23,23
278,10,9,11,10,10,17,30,30,26,35,33,40
279,30,41,39,44,55,58,58,82,88,80,89,109
280,18,13,16,13,14,12,11,16,11,16,14,17
281,16,10,14,18,25,24,29,34,29,44,37,39
282,13,14,9,13,18,15,18,14,29,19,18,13
283,29,40,16,30,24,26,36,35,26,38,40,35
284,15,14,18,18,17,21,18,18,20,17,20,24
285,8,5,8,8,7,8,8,10,7,9,10,10
286,2,1,2,1,4,2,1,4,5,3,2,1
287,8,8,11,12,19,20,12,22,18,21,19,20
288,22,38,40,27,28,31,36,28,32,30,36,26
289,16,20,20,29,23,26,31,27,27,28,26,25
290,8,15,11,16,21,18,22,23,21,37,43,33
291,8,9,8,6,8,4,8,5,13,8,10,9
292,10,5,12,11,35,43,48,50,72,72,69,58
293,11,13,14,19,26,17,25,23,24,35,22,44
294,13,16,19,16,16,16,11,18,20,22,19,24
295,27,33,34,31,35,35,38,38,55,50,42,48
296,61,53,60,54,59,62,58,58,56,42,53,37
297,6,5,5,4,8,9,9,7,9,12,7,9
298,8,10,11,18,10,11,11,13,13,15,9,13
299,5,4,10,7,7,5,9,7,8,6,7,6
300,16,7,13,20,15,12,16,16,15,16,25,28
301,36,28,31,26,42,39,48,42,34,43,48,45
302,17,16,19,26,29,28,24,38,41,47,34,31
303,29,24,24,33,35,30,37,37,33,49,58,51
304,17,15,7,17,16,11,11,18,11,16,11,13
305,71,62,71,62,69,81,85,75,78,68,68,50
306,8,4,7,7,7,8,8,9,9,8,8,3
307,11,16,8,15,17,20,29,26,26,23,45,27
308,1,1,1,1,1,3,2,3,1,2,6,4
309,2,12,3,5,5,2,6,2,8,3,5,6
310,18,12,22,19,29,39,29,27,26,27,43,25
311,5,4,2,1,3,4,2,6,2,3,0,0
312,26,26,39,38,48,55,44,42,57,56,52,61
313,4,7,1,2,3,2,4,3,9,9,6,4
314,47,45,29,54,53,51,40,50,45,32,41,48
315,0,1,1,0,1,1,1,1,0,1,1,0
316,1,0,0,0,0,0,1,1,1,1,0,1
317,4,6,4,6,9,7,8,7,7,5,7,7
318,25,27,29,25,26,24,27,24,21,27,31,31
319,0,2,8,12,16,25,32,36,23,37,24,28
320,10,10,9,18,11,20,13,15,16,19,20,14
321,25,25,35,49,52,72,107,83,93,108,80,74
322,16,15,21,24,17,21,28,25,26,34,35,25
323,28,24,39,34,45,33,54,56,70,81,77,69
324,18,34,25,29,35,22,29,34,33,32,42,32
325,14,4,11,15,9,17,11,13,10,15,18,19
326,41,53,60,72,71,64,61,77,89,72,89,94
327,14,12,17,19,38,42,45,45,37,32,34,41
328,18,11,18,20,23,27,30,33,24,36,28,23
329,32,32,28,27,36,28,22,30,44,27,30,27
330,14,16,21,23,20,31,24,28,27,35,28,20
331,21,23,23,26,36,27,44,51,55,57,58,79
332,23,19,15,24,37,55,77,73,78,69,59,49
333,25,31,28,25,30,23,13,22,26,21,15,21
334,6,5,5,6,10,6,4,7,10,8,6,7
335,19,22,23,16,20,24,18,30,24,21,16,17
336,21,21,26,18,22,22,12,12,17,20,13,5
337,6,10,8,9,6,10,14,11,14,6,10,9
338,19,17,23,15,22,33,27,35,38,35,38,29
339,11,4,10,16,19,31,50,38,61,62,81,86
340,10,14,8,18,24,29,31,33,32,33,36,25
341,21,25,21,30,27,34,55,45,60,65,58,62
342,2,4,2,4,2,3,0,1,4,5,1,3
343,34,22,34,34,40,50,35,40,59,49,49,48
344,25,19,27,27,26,29,33,39,37,37,38,38
345,41,35,48,45,61,39,36,28,28,16,11,9
346,9,26,23,20,16,18,15,20,25,15,14,20
347,11,13,14,16,19,20,23,34,37,23,30,28
348,9,15,14,20,24,30,34,26,36,53,63,60
349,32,30,28,23,18,28,25,27,31,23,30,29
350,4,6,4,6,7,8,8,3,4,7,6,5
351,38,5,2,2,1,0,1,0,0,0,0,0
352,22,15,20,34,16,23,34,30,37,31,24,31
353,2,5,3,3,3,3,3,4,3,3,3,3
354,5,7,7,6,12,11,11,7,10,24,15,14
355,4,6,3,8,5,4,8,5,2,3,4,5
356,6,8,10,9,10,12,16,17,11,15,17,15
357,10,7,8,8,5,12,11,8,10,9,10,12
358,14,18,19,23,23,31,36,32,62,53,61,68
359,21,17,30,27,26,37,36,43,49,62,68,58
360,9,13,18,17,25,18,27,19,23,26,22,27
361,17,14,22,27,26,29,42,49,56,53,65,62
362,6,10,15,12,16,20,10,17,18,14,22,21
363,7,23,20,25,27,28,47,39,46,41,69,63
364,17,15,27,52,45,51,49,39,50,42,36,40
